id,descripteur,disparition,envergure,espece,famille,genre,image,localisation,ordre,poids,taille,text,title,class_bird,french_name,english_name
193,"Audubon, 1827",LC,18 cm.,bewickii,"
 ",Troglodytidés,https://www.oiseaux.net/photos/barry.kent.mackay/images/troglodyte.de.bewick.bkma.1p.jpg,,Passériformes,8 à 12 g,14 cm,"Chez les adultes, le capuchon, le dos et les épaules sont brun foncé éclatant, devenant plus roux sur le croupion et le bas du dos. Les plumes du bas du dos ont des taches blanches partiellement masquées. Les primaires et les secondaires sont gris-brun terne, les filets extérieurs portant de barres sombres qui sont particulièrement visibles sur l'aile fermée. Les tertiaires sont entièrement recouvertes de barres transversales. Les rectrices centrales portent une quinzaine de barres noires bien évidentes. Les plumes extérieures noirâtres ont une large bordure gris-blanc. Les lores sont grisâtres, un large sourcil chamois blanc se poursuit jusqu'en arrière de l'œil. La zone située en arrière de l'orbite est brun-roux, contrastant avec les mouchetures grisâtres des oreillons. Le menton et la gorge sont blanchâtres virant au gris-blanc sur la poitrine et au chamois-blanc sur le ventre. La partie inférieure des flancs est brune. Les iris sont bruns, le bec brun noirâtre avec une tache claire sur la mandibule inférieure. Les pattes sont brun sombre.
Les juvéniles ont un plumage moins foncé que celui des adultes. Les plumes des parties inférieures ont souvent de larges bordures sombres.",Troglodyte de Bewick,193.Bewick_Wren,Troglodyte de Bewick,Bewick's Wren
148,"Audubon, 1839",,-,chlorurus,"
 ",Passerellidés,https://www.oiseaux.net/photos/serge.nicolle/images/tohi.a.queue.verte.seni.0p.jpg,https://www.oiseaux.net/maps/images/tohi.a.queue.verte.1.200.w.png,Passériformes,-,18 cm,Tohi à queue verte (Pipilo chlorurus) est un oiseau qui appartient à la famille des Passerellidés.,Tohi à queue verte,148.Green_tailed_Towhee,Tohi à queue verte,Green-tailed Towhee
94,"Latham, 1790",,20 à 27 cm.,carolinensis,"
 ",Sittidés,https://www.oiseaux.net/photos/denis.chavigny/images/sittelle.a.poitrine.blanche.dcha.1p.jpg,,Passériformes,18 à 30 g,15 cm,Sittelle à poitrine blanche (Sitta carolinensis) est un oiseau qui appartient à la famille des Sittidés.,Sittelle à poitrine blanche,094.White_breasted_Nuthatch,Sittelle à poitrine blanche,White-breasted nuthatch
35,"Gmelin, JF, 1789",,22 à 26 cm.,purpureus,"
 ",Fringillidés,https://www.oiseaux.net/photos/denis.chavigny/images/roselin.pourpre.dcha.0p.jpg,,Passériformes,18 à 31 g,15 cm,Roselin pourpré (Haemorhous purpureus) est un oiseau qui appartient à la famille des Fringillidés.,Roselin pourpré,035.Purple_Finch,Roselin pourpré,Purple Finch
49,"Vieillot, 1819",LC,39 à 50 cm.,major,"
 ",Ictéridés,https://www.oiseaux.net/photos/serge.nicolle/images/quiscale.des.marais.seni.0p.jpg,,Passériformes,93 à 239 g,39 cm,"Les deux sexes sont dimorphiques. Chez l'adulte mâle, le bec est noir, les iris sont brun sombre (jaunâtres chez certaines sous-espèces). Le plumage est entièrement noir avec un lustre violet sur la tête. Les reflets deviennent bleu verdâtre sur la poitrine et sur le dos jusqu'à la queue. La zone anale est noirâtre et n'a pas de reflets irisés. Les ailes et la queue ont de vagues reflets verts. Les pattes et les pieds sont noirs. La femelle adulte affiche une couleur brun sombre sur la tête, les parties supérieures, les ailes et la queue. Les ailes et la queue peuvent présenter un léger lustre verdâtre. Les parties inférieures sont plus claires et l'œil est surmonté par un large sourcil chamois. Les joues sont parfois traversées par une vague strie plus foncée. La teinte chamois clair ou chamois-cannelle du dessous s'étend jusqu'aux pattes. La zone anale et les cuisses sont brun sombre. 
Les immatures mâles sont semblables aux adultes mais les zones irisées sont plus restreintes. La queue en forme de quille de bateau est plus courte. Les cuisses sont brunes et non pas noires. Les immatures femelles sont comme la femelle adulte mais leur dessus est plus pâle et leur dessous plus cannelle. Les juvéniles ressemblent aux femelles adultes mais ils ont une apparence entièrement cannelle et ils n'ont aucun reflet lustré. 
Les Quiscales des marais peuvent âtre confondus avec les Quiscales bronzés ou les Quiscales à longue queue.",Quiscale des marais,049.Boat_tailed_Grackle,Quiscale des marais,Boat-tailed Grackle
9,"Wagler, 1829",LC,37 cm.,cyanocephalus,"
 ",Ictéridés,https://www.oiseaux.net/photos/serge.nicolle/images/quiscale.de.brewer.seni.0p.jpg,,Passériformes,47 à 67 g,21 à 23 cm,"Les sexes sont différents. Tout au long de l'année, le mâle adulte est entièrement noir, avec des reflets violets sur la tête et sur le cou. Le corps et les ailes affichent des plumes vert brillant. Il y a un contraste assez remarquable entre la couleur de la tête et du corps. Les plumes des ailes et de la queue sont bordées de brun. L'iris est jaune ou jaune clair. Le bec, les pattes et les pieds sont noirs. La femelle, de taille légèrement inférieure à son partenaire, a un aspect général gris-brun, hormis les ailes et la queue qui paraissent plus sombres. La tête et le cou ont une légère brillance violette, moins prononcée que chez le mâle. Le corps possède un faible lustre verdâtre. Les côtés de la tête paraissent plus pâles que le capuchon. L'œil est surmonté par un sourcil sombre. L'iris est brun foncé.

Les juvéniles ressemblent aux femelles adultes, mais ils sont plus pâles et leur plumage n'a aucun reflet. Le quiscale de Brewer peut être confondu avec trois autres ictéridés : le Quiscale bronzé (Quiscalus quiscula), le quiscale rouilleux (Euphagus carolinus) et le Vacher luisant (Molothrus bonariensis).",Quiscale de Brewer,009.Brewer_Blackbird,Quiscale de Brewer,Brewer's Blackbird
102,"Sclater, PL, 1859",LC,26 cm.,sordidulus,"
 ",Tyrannidés,https://www.oiseaux.net/photos/serge.nicolle/images/pioui.de.l.ouest.seni.1p.jpg,https://www.oiseaux.net/maps/images/pioui.de.l.ouest.1.200.w.png,Passériformes,11 à 14 g,16 cm,"Chez la race nominale, le sommet du capuchon est brun grisâtre foncé, les lores sont légèrement plus clairs. L'œil est entouré par un très fin anneau orbital qui est parfois absent. Les côtés de la tête, la nuque et les parties supérieures sont uniformément gris-brun. Les plumes des ailes sont sombres avec, sur les couvertures, des extrémités grisâtres qui forment 2 imperceptibles bandes alaires. 
Des liserés grisâtres sont également visibles sur les secondaires et sur les tertiaires. La queue a un teint mat. La gorge varie du gris clair au blanc, la poitrine et les flancs sont gris terne. Le ventre est plus pâle, avec une légère nuance jaunâtre. Les sous-caudales sont blanchâtres avec des centre gris-brun plus foncé. Le dessous des ailes est gris.
Les iris présentent une teinte brun foncé. La mandibule supérieure est noire, la mandibule inférieure est également noire mais avec une tache orange à la base. Les pattes sont noirâtres. 
La distinction est assez difficile à effectuer avec le pioui de l'est (Contopus virens) qui est généralement plus sombre et plus brun, possède des sous-alaires et des sous-caudales plus foncées ainsi qu'une tache plus claire sur la mandibule inférieure. 
Les sexes sont identiques mais la femelle paraît un peu plus petite. Les juvéniles ressemblent aux parents. Les différentes races se distinguent par la teinte plus ou moins foncée du dessus et par l'apport plus ou moins important de jaune sur les parties inférieures. La race peninsulae, qui niche au Mexique, est plus pâle, présente une fine bande pectorale grise, des liserés plus larges sur les rémiges. Elle a des ailes plus courtes et un bec plus allongé.",Pioui de l'Ouest,102.Western_Wood_Pewee,Pioui de l'Ouest,Western wood pewee
111,"Linnaeus, 1766",,28 à 32 cm.,ludovicianus,"
 ",Laniidés,https://www.oiseaux.net/photos/barry.kent.mackay/images/pie-grieche.migratrice.bkma.2p.jpg,,Passériformes,35 à 50 g,22 cm,"Chez le mâle adulte, le masque facial couvre la base du bec et les lores. Il forme un petit filet noir juste au-dessus et en dessous de l'œil puis il s'élargit considérablement sur les couvertures auriculaires. Le fin sourcil blanchâtre est à peine visible. L'ensemble des parties supérieures est gris-ardoise de la nuque jusqu'au bas du dos, devenant plus pâle sur le croupion et les sus-caudales. Les scapulaires sont blancs formant un ""V"" très net et très contrasté sur le dos. La queue est noire avec des bordures blanches. Les rectrices ont des terminaisons blanches hormis la paire centrale. Les ailes sont noires avec une tache blanche au niveau des couvertures primaires. Les filets intérieurs des primaires, secondaires et tertiaires sont tachés de blanc. Les parties inférieures blanchâtres sont nuancées de gris pâle sur les flancs et affichent de légères vermiculures sur la poitrine. Le dessous de la queue est blanchâtre avec une pointe noire. 

Chez la femelle, le masque facial est brun. Le dessous est plus grisâtre et plus régulièrement vermiculé. Dans certaines régions, elle est plus petite et ses primaires sont plus brunes. Les juvéniles ont un masque brun foncé. Le capuchon est gris brunâtre, le manteau et le haut du dos sont gris-olive alors que le croupion et les sus-caudales sont gris terne ou couleur argile. L'ensemble des parties supérieures est plus ou moins vermiculé. Les scapulaires sont chamois clair, la queue est noire avec des terminaisons chamois cannelle. Les ailes sont noires et la tache des primaires est déjà perceptible. La poitrine et les flancs sont gris brunâtre avec d'abondantes vermiculures, le reste des parties inférieures est blanc. Des barres fuligineuses ornent souvent le côté de la gorge. Le dessous de la queue est entièrement blanc.",Pie-grièche migratrice,111.Loggerhead_Shrike,Pie-grièche migratrice,Loggerhead shrike
42,"Boddaert, 1783",LC,-,rubinus,"
 ",Tyrannidés,https://www.oiseaux.net/photos/denis.chavigny/images/moucherolle.vermillon.dcha.1p.jpg,,Passériformes,12 à 15 g,14 cm,"Le Moucherolle vermillon mâle est probablement l'oiseau qui, dans la famille, a la couleur la plus éclatante. Il a la tête d'un rouge vif avec un trait loral sombre et un bandeau brun qui part de l'œil et gagne la nuque en passant par les parotiques. Les plumes de la calotte peuvent se hérisser en huppe. Les parties inférieures, du bec à la queue, sont du même rouge vermillon éclatant. Les parties supérieures sont sombres, les plumes de couverture d'un brun assez chaud et les pennes des ailes et de la queue plutôt d'un brun noirâtre. L'uniformité du dessus est rompue par des liserés clairs aux couvertures et aux rémiges. L'extrémité claire des premières dessine deux fines barres alaires. La partie cachée par les ailes au repos, soit le dos, le croupion et les sus-caudales, est d'un brun plus clair et contraste avec le manteau et la queue très sombres. 
L'iris est sombre, le bec et les pattes noirs.
La femelle diffère totalement du mâle. Ses parties supérieures sont d'un brun plus gris et plus clair, avec le même contraste entre le corps et le reste. La plupart des plumes possèdent des liserées clairs, ce qui participe à la clarté de l'ensemble. La queue est bordée de clair. Le menton, la gorge et le haut de la poitrine sont blancs. Cette dernière possède des stries sombres d'intensité variable mais toujours bien visibles qui évoquent notre Gobemouche gris et se propagent aux flancs. Le bas de la poitrine se colore un peu de beige et cette teinte passe occasionnellement et progressivement, chez certains individus, à une teinte roussâtre, voire rosâtre, plus ou moins vive, au niveau du ventre et des sous-caudales.
Le juvénile ressemble à la femelle, mais avec des stries et des liserés plus marqués. Le mâle immature rappelle la femelle, mais le rouge qui envahit ses parties inférieures révèle son identité. 
L'espèce est monotypique.",Moucherolle vermillon,042.Vermilion_Flycatcher,Moucherolle vermillon,Scarlet Flycatcher
108,"Latham, 1790",,-,albicollis,"
 ",Corvidés,https://www.oiseaux.net/photos/denis.chavigny/images/corbeau.a.nuque.blanche.dcha.0p.jpg,https://www.oiseaux.net/maps/images/corbeau.a.nuque.blanche.1.200.w.png,Passériformes,762 à 1157 g,56 cm,Corbeau à nuque blanche (Corvus albicollis) est un oiseau qui appartient à la famille des Corvidés.,Corbeau à nuque blanche,108.White_necked_Raven,Corbeau à nuque blanche,White-necked raven
192,"Linnaeus, 1766",LC,25 à 30 cm.,pubescens,"
 ",Picidés,https://www.oiseaux.net/photos/denis.chavigny/images/pic.mineur.dcha.2p.jpg,,Piciformes,21 à 28 g,17 cm,"Chez le mâle adulte, les vibrisses sont blanchâtres. Le capuchon est noir, la nuque rouge. Des épais sourcils blancs surmontent l'œil, s'élargissant à l'arrière de l'orbite et se rejoignant sur la nuque. Les oreillons sont noirs, le bord supérieur formant une bande qui se poursuit jusqu'au bas de la nuque. Une très longue bande blanche parcourt le dessous de l'œil et se prolonge jusqu'à l'arrière du cou. Cette dernière est soulignée par une épaisse moustache noire qui atteint les côtés du manteau. Le menton et la gorge sont blancs ou blanc grisâtre. Les parties supérieures sont entièrement noires, hormis une tache centrale blanche qui part de la moitié du manteau jusqu'en bas du dos. Le dessus des ailes est noir. Les plumes des couvertures sont également noires mais avec de larges taches subterminales blanches. Les rémiges sont tachées sur les filets extérieurs et barrées sur les filets intérieurs. Le dessus de la queue est noir avec une pointe blanche pour la paire de rectrices centrales. Les rectrices extérieures sont blanches avec d'évidentes barres noires. Les parties inférieures sont entièrement blanc uni ou blanc grisâtre. Le dessous des ailes est blanc et gris. 
La femelle ne possède pas de rouge sur la nuque. Les sourcils ne se rejoignent pas toujours à l'arrière de la tête. Les juvéniles ont un plumage plus terne, plus brunâtre. Les parties inférieures paraissent plus sales, grisâtres ou chamoisées. Les côtés de la poitrine sont finement striés. La partie basse des flancs est variablement barrée. Les jeunes mâles présentent une calotte dont les plumes sont légèrement bordées de rouge. Les jeunes femelles ont une calotte brun-noir, soit unie soit fortement tachetée de blanc ou de chamois clair.",Pic mineur,192.Downy_Woodpecker,Pic mineur,Downy Woodpecker
189,"Linnaeus, 1758",,33 à 42 cm.,carolinus,"
 ",Picidés,https://www.oiseaux.net/photos/barry.kent.mackay/images/pic.a.ventre.roux.bkma.0p.jpg,,Piciformes,56 à 90 g,24 cm,"Ce petit pic au long bec ciselé ressemble superficiellement au Pic des saguaros en raison de son dessus et de ses ailes fortement barrés de noir et de blanc, de son croupion blanc et de ses parties inférieures claires. Les plumes centrales de sa queue sont largement blanches, avec quelques rayures noires. Les rectrices externes sont barrées de noir et de blanc. L'abdomen est recouvert d'une tache rougeâtre qui n'est pas toujours évidente à apercevoir. Le mâle affiche un capuchon et une nuque d'un rouge éclatant alors que la femelle possède habituellement une calotte grise. En vol, on peut nettement apercevoir une barre alaire blanche à la base des primaires. Le bec est noir. Les pattes et les pieds sont gris à gris-vert. Les iris sont rouge foncé à brun-rouge. 
Chez les juvéniles, les barres des parties supérieures sont moins prononcées, plus blanchâtres que chez les adultes. Le dessous est plus sombre avec des stries noires assez variables sur la poitrine. La tache abdominale rouge est souvent indistincte, voire absente chez les jeunes femelles. Les jeunes mâles ont un capuchon moins développé et moins rouge que celui des adultes. Les jeunes femelles n'ont pas de rouge sur la nuque et l'arrière du cou, mais juste une petite tache écarlate sur le capuchon. Les juvéniles ont des iris bruns.",Pic à ventre roux,189.Red_bellied_Woodpecker,Pic à ventre roux,Red-bellied Woodpecker
191,"Linnaeus, 1758",LC,42 cm.,erythrocephalus,"
 ",Picidés,https://www.oiseaux.net/photos/serge.nicolle/images/pic.a.tete.rouge.seni.0p.jpg,,Piciformes,56 à 97 g,24 cm,"Les deux sexes ont un plumage identique. La femelle est légèrement plus petite que le mâle. La tête entière, le cou, la gorge et la partie supérieure de la poitrine forment un ensemble rouge éclatant. Les plumes du haut de la poitrine ont une terminaison noire, formant une ligne de démarcation avec le reste des parties inférieures qui sont claires. Le manteau et le haut du dos ont une teinte bleu-noir luisant qui contraste avec le bas du dos, le croupion et les sus-caudales blancs. La partie blanche du bas du dos est souvent recouverte de vagues petites stries sombres. Les couvertures alaires sont bleu-noir luisant. Les primaires et l'extérieur des secondaires sont bruns. L'intérieur des secondaires et les tertiaires sont blancs, formant une large barre alaire bien visible en vol comme au repos. Le dessus de la queue est brun noirâtre, légèrement lustré de bleu et avec de fines terminaisons blanches sur les rectrices extérieures. La poitrine et le ventre sont blancs, avec un lavis jaunâtre terne à rougeâtre de variable intensité. Les sous caudales sont blanches ou crème Le dessous des ailes est noir et blanc. Le bec est gris-bleu, devenant plus clair près de la base. Les pattes et les pieds sont gris-olive, les iris bruns. 
Les juvéniles ont des motifs identiques à ceux des adultes mais la coloration du plumage est différente et il y a plus de variations entre les individus. Le dessus et les côtés de la tête sont gris-brun avec des stries plus foncées. Le menton et la gorge sont blanc grisâtre avec des stries brunes bien évidentes. Le manteau, les scapulaires et le dos sont barrés de brun-noir et de blanc grisâtre. Les parties inférieures blanches sont barrées de brun foncé sur les flancs. Les juvéniles acquièrent leur plumage adulte par mues successives au cours de l'automne et de l'hiver. Parvenus au mois de décembre, la plupart affichent une belle tête rouge, un dessus presque sans stries et un dos bleu-noir.",Pic à tête rouge,191.Red_headed_Woodpecker,Pic à tête rouge,Red-headed Woodpecker
190,,,,,,,,,,,,Pic à face blanche (Leuconotopicus borealis) est un oiseau qui appartient à la famille des Picidés.,Pic à face blanche,190.Red_cockaded_Woodpecker,Pic à face blanche,Red-cockaded Woodpecker
187,"Baird, SF, 1858",,-,dorsalis,"
 ",Picidés,https://www.oiseaux.net/photos/serge.nicolle/images/pic.a.dos.raye.seni.0p.jpg,https://www.oiseaux.net/maps/images/pic.a.dos.raye.1.200.w.png,Piciformes,-,23 cm,Pic à dos rayé (Picoides dorsalis) est un oiseau qui appartient à la famille des Picidés.,Pic à dos rayé,187.American_Three_toed_Woodpecker,Pic à dos rayé,American Three-toed Woodpecker
134,"Linnaeus, 1766",,-,nitens,"
 ",Sturnidés,https://www.oiseaux.net/photos/denis.chavigny/images/choucador.a.epaulettes.rouges.dcha.0p.jpg,https://www.oiseaux.net/maps/images/choucador.a.epaulettes.rouges.1.200.w.png,Passériformes,75 à 105 g,25 cm,Choucador à épaulettes rouges (Lamprotornis nitens) est un oiseau qui appartient à la famille des Sturnidés.,Choucador à épaulettes rouges,134.Cape_Glossy_Starling,Choucador à épaulettes rouges,Cape starling
16,"Linnaeus, 1758",,20 à 22 cm.,ciris,"
 ",Cardinalidés,https://www.oiseaux.net/photos/barry.kent.mackay/images/passerin.nonpareil.bkma.2p.jpg,,Passériformes,13 à 19 g,13 cm,Passerin nonpareil (Passerina ciris) est un oiseau qui appartient à la famille des Cardinalidés.,Passerin nonpareil,016.Painted_Bunting,Passerin nonpareil,Painted Bunting
181,"Gmelin, JF, 1789",,20 cm.,vermivorum,"
 ",Parulidés,https://www.oiseaux.net/photos/serge.nicolle/images/paruline.vermivore.seni.0p.jpg,,Passériformes,12 à 14 g,13 cm,Paruline vermivore (Helmitheros vermivorum) est un oiseau qui appartient à la famille des Parulidés.,Paruline vermivore,181.Worm_eating_Warbler,Paruline vermivore,Worm-eating Warbler
168,,,,,,,https://www.oiseaux.net/photos/michel.lamarche/images/paruline.du.kentucky.mila.2p.152.h.jpg,https://www.oiseaux.net/maps/images/paruline.du.kentucky.1.200.w.png,,,,Paruline du Kentucky (Geothlypis formosa) est un oiseau qui appartient à la famille des Parulidés.,Paruline du Kentucky,168.Kentucky_Warbler,Paruline du Kentucky,Kentucky Warbler
